,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
87,0.001991433,0.001583614,0.001787523,0.001984587,0.001611406,0.001797997,0.002019213,0.001794449,0.001906831
201,0.001818213,0.000940064,0.001379138,0.001764475,0.000927518,0.001345996,0.001895541,0.001473017,0.001684279
394,0.002561471,0.001590428,0.00207595,0.002582677,0.001624478,0.002103578,0.00258854,0.001825713,0.002207126
510,0.002159622,0.002261498,0.00221056,0.002212889,0.002270501,0.002241695,0.002180519,0.002525248,0.002352884
284,0.001856016,0.00077455,0.001315283,0.001815993,0.000759506,0.00128775,0.001871118,0.000988857,0.001429988
350,0.002027508,0.00088277,0.001455139,0.001981939,0.00089903,0.001440484,0.002015665,0.000921394,0.00146853
558,0.003205503,0.002232563,0.002719033,0.003329839,0.002191453,0.002760646,0.003268703,0.003242893,0.003255798
485,0.002521248,0.001203456,0.001862352,0.002482036,0.001227031,0.001854533,0.00252396,0.001325158,0.001924559
266,0.001729825,0.000754838,0.001242332,0.001673564,0.000754861,0.001214212,0.001749392,0.000840839,0.001295115
416,0.002287358,0.001317728,0.001802543,0.002261406,0.001353482,0.001807444,0.002309134,0.001420636,0.001864885
41,0.002045831,0.000850213,0.001448022,0.001981775,0.00082807,0.001404923,0.002074355,0.001095922,0.001585138
364,0.002169873,0.001759723,0.001964798,0.002140916,0.001787844,0.00196438,0.002190431,0.001961963,0.002076197
356,0.002594056,0.001652694,0.002123375,0.002596766,0.001697302,0.002147034,0.002616925,0.001745712,0.002181318
359,0.00226783,0.002758856,0.002513343,0.002367472,0.002734903,0.002551187,0.002289435,0.003067789,0.002678612
576,0.002022295,0.000963511,0.001492903,0.001962849,0.000921149,0.001441999,0.002084974,0.001511617,0.001798295
529,0.002198393,0.001387528,0.00179296,0.002333128,0.001418693,0.00187591,0.002287598,0.001761709,0.002024654
441,0.002531804,0.00148221,0.002007007,0.002603618,0.001514058,0.002058838,0.00253129,0.001697096,0.002114193
444,0.002559444,0.001125785,0.001842614,0.002536406,0.001162589,0.001849498,0.002555889,0.001276319,0.001916104
40,0.002400053,0.001571453,0.001985753,0.002537154,0.001614777,0.002075966,0.002453945,0.001891318,0.002172632
463,0.002119475,0.001069001,0.001594238,0.002085642,0.00107012,0.001577881,0.002186706,0.001391536,0.001789121
232,0.00247029,0.002555745,0.002513018,0.002963551,0.002577889,0.00277072,0.002451823,0.003082544,0.002767183
220,0.002297751,0.001165186,0.001731468,0.002278759,0.001164086,0.001721422,0.002335233,0.00139661,0.001865921
58,0.001720524,0.001468987,0.001594756,0.001671515,0.001465101,0.001568308,0.001759654,0.001690569,0.001725111
47,0.002051442,0.001386406,0.001718924,0.002036901,0.001415652,0.001726276,0.002084847,0.001605301,0.001845074
146,0.002098156,0.002073142,0.002085649,0.002087042,0.002100282,0.002093662,0.002143792,0.002197359,0.002170576
52,0.00202575,0.001616409,0.001821079,0.001992937,0.001636427,0.001814682,0.002030078,0.00169191,0.001860994
543,0.002118124,0.001162346,0.001640235,0.00207931,0.001196527,0.001637918,0.002125833,0.001317239,0.001721536
445,0.002997974,0.001924295,0.002461134,0.003177548,0.00204141,0.002609479,0.003061676,0.002315526,0.002688601
365,0.002257886,0.002021347,0.002139616,0.002283107,0.002039087,0.002161097,0.002299935,0.002258778,0.002279356
377,0.002223831,0.001278457,0.001751144,0.00220469,0.001314685,0.001759687,0.002254691,0.001462836,0.001858763
152,0.001935837,0.001850627,0.001893232,0.001890373,0.001867593,0.001878983,0.001957994,0.00195191,0.001954952
251,0.001852731,0.000876884,0.001364807,0.001892878,0.000869345,0.001381111,0.001896692,0.001124509,0.001510601
525,0.001841641,0.001327946,0.001584794,0.001869989,0.001353155,0.001611572,0.001892649,0.001609058,0.001750854
474,0.003184028,0.002212602,0.002698315,0.003284567,0.002186937,0.002735752,0.003227481,0.003026763,0.003127122
456,0.002629288,0.001563625,0.002096457,0.002658503,0.001628107,0.002143305,0.002617014,0.001781159,0.002199086
499,0.001961687,0.001695152,0.001828419,0.001954885,0.001682291,0.001818588,0.001991044,0.001967561,0.001979302
596,0.002068179,0.001253887,0.001661033,0.002081571,0.00127725,0.00167941,0.002077456,0.001364044,0.00172075
