,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
394,0.00274844,0.001611765,0.002180102,0.002582374,0.00162415,0.002103262,0.002588076,0.001824362,0.002206219
510,0.002343063,0.002303656,0.00232336,0.002213546,0.002269276,0.002241411,0.002182489,0.002526758,0.002354624
284,0.001860318,0.000751809,0.001306063,0.001815809,0.000759392,0.0012876,0.001869216,0.000991293,0.001430255
350,0.002000373,0.000883395,0.001441884,0.001981367,0.000899396,0.001440382,0.002014372,0.00092122,0.001467796
558,0.00701821,0.002063018,0.004540614,0.003330974,0.002190023,0.002760498,0.003267427,0.003243767,0.003255597
485,0.002548046,0.001218563,0.001883305,0.002483275,0.001227295,0.001855285,0.00252313,0.001324454,0.001923792
266,0.001781981,0.000767609,0.001274795,0.001673192,0.000755797,0.001214495,0.001750892,0.000840231,0.001295561
416,0.002338715,0.001329959,0.001834337,0.002260611,0.001352501,0.001806556,0.002309486,0.001420782,0.001865134
41,0.002267283,0.000857896,0.001562589,0.001982213,0.000827936,0.001405075,0.002072819,0.001096715,0.001584767
364,0.00220462,0.00176678,0.0019857,0.002138734,0.001783245,0.001960989,0.002189962,0.001958903,0.002074433
356,0.002645018,0.001674647,0.002159832,0.002598964,0.001698404,0.002148684,0.002617285,0.001743251,0.002180268
359,0.002762187,0.002688907,0.002725547,0.002370155,0.002736909,0.002553532,0.002291516,0.003069159,0.002680337
576,0.00219776,0.00101636,0.00160706,0.001962451,0.000922257,0.001442354,0.002084432,0.001514661,0.001799547
529,0.002988412,0.001408835,0.002198624,0.002333383,0.00141927,0.001876326,0.002288839,0.001762112,0.002025475
441,0.002726423,0.001427117,0.00207677,0.002602588,0.001510885,0.002056737,0.00253069,0.00169503,0.00211286
444,0.002610635,0.001134964,0.0018728,0.002534294,0.001159179,0.001846737,0.002555425,0.00127746,0.001916443
40,0.002856254,0.001611363,0.002233809,0.002535566,0.001611034,0.0020733,0.002448946,0.001885283,0.002167115
220,0.002573694,0.001215489,0.001894592,0.002280848,0.001166099,0.001723474,0.002333889,0.001396053,0.001864971
